YEAR,BEST ORIGINAL SONG,URI,WON (yes=1 no=0),Notes,Lyrics
2017,This Is Me,45aBsnKRWUzhwbcqOJLwfe,0,,"I am not a stranger to the dark
Hide away, they say
'Cause we don't want your broken parts
I've learned to be ashamed of all my scars
Run away, they say
No one'll love you as you are
But I won't let them break me down to dust
I know that there's a place for us
For we are glorious
When the sharpest words wanna cut me down
I'm gonna send a flood, gonna drown them out
I am brave, I am bruised
I am who I'm meant to be, this is me
Look out 'cause here I come
And I'm marching on to the beat I drum
I'm not scared to be seen
I make no apologies, this is me
Oh-oh-oh-oh
Oh-oh-oh-oh
Oh-oh-oh-oh
Oh-oh-oh-oh
Oh-oh-oh, oh-oh-oh, oh-oh-oh, oh, oh
Another round of bullets hits my skin
Well, fire away 'cause today, I won't let the shame sink in
We are bursting through the barricades and
Reaching for the sun (we are warriors)
Yeah, that's what we've become (yeah, that's what we've become)
I won't let them break me down to dust
I know that there's a place for us
For we are glorious
When the sharpest words wanna cut me down
I'm gonna send a flood, gonna drown them out
I am brave, I am bruised
I am who I'm meant to be, this is me
Look out 'cause here I come
And I'm marching on to the beat I drum
I'm not scared to be seen
I make no apologies, this is me
Oh-oh-oh-oh
Oh-oh-oh-oh
Oh-oh-oh-oh
Oh-oh-oh-oh
Oh-oh-oh, oh-oh-oh, oh-oh-oh, oh, oh
This is me
and I know that I deserve your love
(Oh-oh-oh-oh) 'cause there's nothing I'm not worthy of
(Oh-oh-oh, oh-oh-oh, oh-oh-oh, oh, oh)
When the sharpest words wanna cut me down
I'm gonna send a flood, gonna drown them out
This is brave, this is proof
This is who I'm meant to be, this is me
Look out 'cause here I come (look out 'cause here I come)
And I'm marching on to the beat I drum (marching on, marching, marching on)
I'm not scared to be seen
I make no apologies, this is me
When the sharpest words wanna cut me down
I'm gonna send a flood, gonna drown them out
I'm gonna send a flood
Gonna drown them out
Oh
This is me"
2017,Stand Up for Something,44r3hRXVBDA3ZeKxdFvm8l,0,,"You can have all the money in your hands
All the possessions anyone can ever have
But it's all worthless treasure, true worth is only measured
Not by what you got, but what you got in your heart
You can have, you can have everything
What does it, what does it mean?
It all means nothing
If you don't stand up for something
You can't just talk the talk
You got to walk that walk, yes you do
It all means nothing
If you don't stand up for something
And I stand up for you
And I stand up for you, yes I will, yes I will
You do the best that, do the best that you can do
Then you can look in the mirror
Proud of who's looking back at you
Define the life you're living
Not by what you take or what you're givin'
And if you bet on love there's no way you'll ever lose
Take a stand, make a stand for what's right
It's always worth, always worth the fight
It all means nothing
If you don't stand up for something
You can't just talk the talk
You got to walk that walk, yes you do
It all means nothing
If you don't stand up for something
And I stand up for you
Stand for respect, dignity
If that's all you got, then you got all you need
And without that, you don't have a thing, oh, no, no
Rise up, love, lift your hands
I stand with you 'cause I understand
Ain't here to judge, just to take a stand
The greater plan's the Creator's plan
Let's all rise like the day began
Reach out and touch with the Savior's hand
On rock, we stand like this native land
Let the ways of love be the ways of man
And it all means nothing
If you don't stand for something
You can't just talk the talk
You got to walk that walk, yes you do
It all means nothing
If you don't stand up for something
And I stand up for you (stand up, stand for you)
I stand up for you (stand up)
And I stand up for you (stand up, stand for you)
Stand up for you, yes I will, yes I will (stand up)"
2017,Mighty River,2io50Xn71UexrYMBYgL3fM,0,,"Life is a teacher, time is a healer
And I'm a believer like a river wild
Ego's a killer, greed is a monster
But love is stronger, stronger than them all
White flag in hand
I don't want to fight
No lines in the sand, I'm on your side
Invisible, no color life
It's time we put our, put our, put our differences aside
Time tells no lies
It keeps changing, and ticking, and moving, then passes by
But if you're lucky it will be kind
Like a river flowing through time
Let it wash you clean
(Like a river)
Going up stream
(Like a river)
Cutting through right
(Like a river)
'Cause it never gives up
(Like a river)
So full of life
(Like a river)
Liquid like time
(Like a river)
That'll wash away
(Like a river)
The pain from yesterday
Love is the answer, hate is a cancer
Hope of forgiveness, it waters the soul
Our blood is red, we're not so different
'Cause underneath our skin we're identical
White flag in hand
I'm not gonna fight
No lines in the sand, I'm on your side
Invisible, no color rise
It's time we put our, oh put our differences aside
We know wrong from right
Oh time tells no lies
It keeps changing, and ticking, and moving, then passes by
But if you're lucky it will be kind
Oh like a river flowing through time
Let it wash you clean
(Like a river)
Going up stream
(Like a river)
Cutting through right
(Like a river)
'Cause it never gives up
(Like a river)
So full of life
(Like a river)
Liquid like time
(Like a river)
Let it wash away
(Like a river)
The pain from yesterday
Oh oh oh (mighty river)
Rain down on me
(Like a river)
All it takes is time
(Mighty river)
To heal this bloodline
(Like a river)
Better wash me clean
(Mighty river)
Get this dirt off of me
(Like a river)
Oh oh oh (mighty river)
Let it wash the pain
Oh oh oh (like a river)
Oh like a river (mighty river)
Mighty and better river (like a river)
Oh yeah (mighty river)
Rain down on me
(Like a river)
Oh oh oh (mighty river)
Oh all the hurt and pain
(Like a river)
Oh yeah yeah yeah yeah
(Mighty river)
Oh mighty river, mighty river (ooh ooh ooh ooh)"
2016,City of Stars,5BMwpS4iYKR30kq9U9beaT,1,,"City of stars
Are you shining just for me?
City of stars
There's so much that I can't see
Who knows?
Is this the start of something wonderful and new?
Or one more dream that I cannot make true?"
2016,The Empty Chair,0e9OPylwBov77jRio7pKB3,0,,"If I should close my eyes, that my soul can see
And there's a place at the table that you saved for me
So many thousand miles over land and sea
I hope to dare, that you hear my prayer
And somehow I'll be there
It's but a concrete floor where my head will lay
And though the walls of this prison are as cold as clay
But there's a shaft of light where I count my days
So don't despair of the empty chair
And somehow I'll be there
Some days I'm strong, some days I'm weak
And days I'm so broken I can barely speak
There's a place in my head where my thoughts still roam
Where somehow I've come home
And when the Winter comes and the trees lie bare
And you just stare out the window in the darkness there
Well I was always late for every meal you'll swear
But keep my place and the empty chair
And somehow I'll be there
And somehow I'll be there"
2016,Audition (The Fools Who Dream),6j0wBBAP3hMe4t1Ymj7GIe,0,,"My aunt used to live in Paris 
I remember, she used to come home and tell us these stories about being abroad 
And I remember she told us that she jumped into the river once, barefoot
She smiled
Leapt, without looking
And tumbled into the Seine
The water was freezing
She spent a month sneezing
But said she would do it again
Here's to the ones who dream
Foolish as they may seem
Here's to the hearts that ache
Here's to the mess we make
She captured a feeling
Sky with no ceiling
The sunset inside a frame
She lived in her liquor
And died with a flicker
I'll always remember the flame
Here's to the ones who dream
Foolish as they may seem
Here's to the hearts that ache
Here's to the mess we make
She told me
""A bit of madness is key
To give us new colors to see
Who knows where it will lead us?
And that's why they need us""
So bring on the rebels
The ripples from pebbles
The painters, and poets, and plays
And here's to the fools who dream
Crazy as they may seem
Here's to the hearts that break
Here's to the mess we make
I trace it all back to then
Her, and the snow, and the Seine
Smiling through it
She said she'd do it again"
2016,How Far I'll Go,6mb6lVLNrcUgLnEN8QnDJd,0,,"I've been staring at the edge of the water
'Long as I can remember, never really knowing why
I wish I could be the perfect daughter
But I come back to the water, no matter how hard I try
Every turn I take, every trail I track
Every path I make, every road leads back
To the place I know, where I can not go, where I long to be
See the line where the sky meets the sea? It calls me
And no one knows, how far it goes
If the wind in my sail on the sea stays behind me
One day I'll know, if I go there's just no telling how far I'll go
I know everybody on this island, seems so happy on this island
Everything is by design
I know everybody on this island has a role on this island
So maybe I can roll with mine
I can lead with pride, I can make us strong
I'll be satisfied if I play along
But the voice inside sings a different song
What is wrong with me?
See the light as it shines on the sea? It's blinding
But no one knows, how deep it goes
And it seems like it's calling out to me, so come find me
And let me know, what's beyond that line, will I cross that line?
The line where the sky meets the sea? It calls me
And no one knows, how far it goes
If the wind in my sail on the sea stays behind me
One day I'll know, how far I'll go"
2016,Can't Stop the Feeling,1WkMMavIMc4JZ8cfMmxHkI,0,,"Ah, yeah, ah, yeah
I got this feelin' inside my bones
It goes electric, wavy when I turn it on
All through my city, all through my home
We're flyin' up, no ceilin', when we in our zone
I got that sunshine in my pocket
Got that good soul in my feet
I feel that hot blood in my body when it drops (ooh)
I can't take my eyes up off it, movin' so phenomenally
Room on lock, the way we rock it, so don't stop
And under the lights when everything goes
Nowhere to hide when I'm gettin' you close
When we move, well, you already know
So just imagine, just imagine, just imagine
Nothin' I can see but you when you dance, dance, dance
Feel a good, good creepin' up on you 
So just dance, dance, dance, come on
All those things I shouldn't do
But you dance, dance, dance
And ain't nobody leavin' soon, so keep dancin'
I can't stop the feelin'
So just dance, dance, dance
I can't stop the feelin'
So just dance, dance, dance, come on
Ooh, it's something magical
It's in the air, it's in my blood, it's rushin' on (rushin' on)
I don't need no reason, don't need control (need control)
I fly so high, no ceiling, when I'm in my zone
'Cause I got that sunshine in my pocket
Got that good soul in my feet
I feel that hot blood in my body when it drops (ooh)
I can't take my eyes up off it, moving so phenomenally
Room on lock, the way we rock it, so don't stop (stop, stop, stop)
Under the lights when everything goes
Nowhere to hide when I'm gettin' you close
When we move, well, you already know
So just imagine, just imagine, just imagine
Nothing I can see but you when you dance, dance, dance
Feel a good, good, creepin' up on you
So just dance, dance, dance, come on
All those things I shouldn't do
But you dance, dance, dance
And ain't nobody leavin' soon, so keep dancin'
I can't stop the feelin'
So just dance, dance, dance
I can't stop the feelin'
So just dance, dance, dance
I can't stop the feelin'
So just dance, dance, dance
I can't stop the feelin' (yeah)
So keep dancin', come on
Oh, yeah, yeah
I can't stop the, I can't stop the
I can't stop the, I can't stop the
I can't stop the feelin'
Nothin' I can see but you when you dance, dance, dance (I can't stop the feelin')
Feel the good, good, creepin' up on you
So just dance, dance, dance, come on (I can't stop the feelin')
All those things I shouldn't do
But you dance, dance, dance (dance, dance, dance) (I can't stop the feelin')
And ain't nobody leavin' soon, so keep dancin' 
Everybody sing (I can't stop the feelin')
Got this feeling in my body (I can't stop the feelin')
Got this feeling in my body (I can't stop the feelin')
Wanna see you move your body (I can't stop the feelin')
Got this feelin' in my body
Break it down
Got this feelin' in my body (ah)
Can't stop the feelin'
Got this feelin' in my body, come on (ooh)"
2015,Writing's on the Wall,1PWnAEQcbwQwK759otUbta,1,,"I've been here before
But always hit the floor
I've spent a lifetime running
And I always get away
But with you I'm feeling something
That makes me want to stay
I'm prepared for this
I never shoot to miss
But I feel like a storm is coming
If I'm gonna make it through the day
Then there's no more use in running
This is something I gotta face
If I risk it all
Could you break my fall?
How do I live? How do I breathe?
When you're not here I'm suffocating
I want to feel love, run through my blood
Tell me is this where I give it all up?
For you I have to risk it all
'Cause the writing's on the wall
A million shards of glass
That haunt me from my past
As the stars begin to gather
And the light begins to fade
When all hope begins to shatter
Know that I won't be afraid
If I risk it all
Could you break my fall?
How do I live? How do I breathe?
When you're not here I'm suffocating
I want to feel love, run through my blood
Tell me is this where I give it all up?
For you I have to risk it all
'Cause the writing's on the wall
The writing's on the wall
How do I live? How do I breathe?
When you're not here I'm suffocating
I want to feel love, run through my blood
Tell me is this where I give it all up?
How do I live? How do I breathe?
When you're not here I'm suffocating
I want to feel love, run through my blood
Tell me is this where I give it all up?
For you I have to risk it all
'Cause the writing's on the wall"
2015,Earned It,4frLb7nWtsz2ymBE6k2GRP,0,,"You make it look like it's magic
'Cause I see nobody, nobody but you, you, you
I'm never confused
Hey, hey
I'm so used to being used
So I love when you call unexpected
'Cause I hate when the moment's expected
So I'ma care for you, you, you
I'ma care for you, you, you, you, yeah
'Cause girl you're perfect
You're always worth it
And you deserve it
The way you work it
'Cause girl you earned it, yeah
Girl you earned it, yeah
You know our love would be tragic (oh yeah)
So you don't pay it, don't pay it no mind
We live with no lies
Hey, hey
And you're my favourite kind of night
So I love when you call unexpected
'Cause I hate when the moment's expected
So I'ma care for you, you, you
I'ma care for you, you, you, you, yeah
'Cause girl you're perfect (girl you're perfect)
You're always worth it (you're always worth it)
And you deserve it (and you deserve it)
The way you work it (the way you work it)
'Cause girl you earned it (earned it, yeah)
Girl you earned it (earned it, yeah)
On that lonely night (lonely night)
You said it wouldn't be love
But we felt the rush (felt the love)
It made us believe it there was only us (only us)
Convinced we were broken inside, yeah
Inside, yeah
'Cause girl you're perfect (girl you're perfect)
You're always worth it (you're always worth it)
And you deserve it (and you deserve it)
The way you work it (the way you work it)
'Cause girl you earned it (girl you earned it, yeah)
Girl you earned it (you earned it, yeah)
Nana nana
So girl you're worth it
The way you work it
You deserve it
I can tell you"
2015,Til it Happens to You,0bCCGLHflR08UVA6oJJc8I,0,,"You tell me it gets better, it gets better in time
You say I'll pull myself together, pull it together
You'll be fine
Tell me what the hell do you know
What do you know
Tell me how the hell could you know
How could you know
'Til it happens to you, you don't know
How it feels
How it feels
'Til it happens to you, you won't know
It won't be real
No it won't be real
Won't know how it feels
You tell me hold your head up
Hold your head up and be strong
'Cause when you fall, you gotta get up
You gotta get up and move on
Tell me, how the hell could you talk
How could you talk?
'Cause until you walk where I walk
It's just all talk
'Til it happens to you, you don't know
How it feels
How it feels
'Til it happens to you, you won't know
It won't be real (how could you know?)
No it won't be real (how could you know?)
Won't know how I feel
'Til your world burns and crashes
'Til you're at the end, the end of your rope
'Til you're standing in my shoes, I don't wanna hear nothing from you
From you, from you, 'cause you don't know
'Til it happens to you, you don't know
How I feel
How I feel
How I feel
'Til it happens to you, you won't know
It won't be real (how could you know?)
No it won't be real (how could you know?)
Won't know how it feels
'Til it happens to you, happens to you
Happens to you
Happens to you, happens to you
Happens to you (how could you know?)
'Til it happens to you, you won't know how I feel"
2015,Manta Ray,0tG61juk79S6dEQPVgwGgN,0,,"In the trees
Between the leaves
All the growing
That we did

All the loving
And separating
All the turning
To face each other

I divide
In the sky
In the the seams
Between the beams

All the loving
And separating
All the turning
To face each other

Without biodiversity
I'm nothing
It's like I never
Existed

Without my home
With no reflection
I cease to exist
Advertisement

Scroll to continue with content

And my children
Are dying now
Inside me
My children
Are dying now
Inside me
My children

All I love
All I know
All I've known

I am dying now
Inside me
My children
My children"
2015,Simple Song #3,6rub2kEobve7nRLLMggl8A,0,,"I feel complete
I lose all control
I lose all control
I respond
I feel chills
I break
I know on those lonely nights
I know on those lonely nights

I know everything
I lose all control
I get a chill
I know on those lonely nights I die
I hear all that is left to be heard
I wish you would never stop
I’ve got a feeling

I’ll be right there
I’ll never forget you
I will leave lessons behind
I feel complete
I’ve got a feeling
I wish your body like rain
I’ll be there, I’ll be there
I lose all control


When you whisper my name
When you whisper my name
When you whisper my name, whisper my name
When you whisper my name

When you whisper
When you whisper my name"
